================================================================================
MONITEUR MÉMOIRE REFORGER WORKBENCH - 2026-06-09 16:59:13
================================================================================
Intervalle: 1.0s
GPU détecté: AMD Radeon 780M Graphics
================================================================================

[17:01:10] + 117.1s | RAM: 15.77/27.65 GB ( 57.0%) | VRAM: N/A
[17:01:11] + 118.1s | RAM: 15.69/27.65 GB ( 56.8%) | VRAM: N/A
[17:01:12] + 119.1s | RAM: 15.66/27.65 GB ( 56.7%) | VRAM: N/A
[17:01:13] + 120.2s | RAM: 15.50/27.65 GB ( 56.1%) | VRAM: N/A
[17:01:14] + 121.2s | RAM: 15.43/27.65 GB ( 55.8%) | VRAM: N/A
[17:01:15] + 122.2s | RAM: 15.24/27.65 GB ( 55.1%) | VRAM: N/A
[17:01:16] + 123.2s | RAM: 15.19/27.65 GB ( 55.0%) | VRAM: N/A
[17:01:17] + 124.2s | RAM: 15.14/27.65 GB ( 54.8%) | VRAM: N/A
[17:01:18] + 125.2s | RAM: 15.11/27.65 GB ( 54.7%) | VRAM: N/A
[17:01:19] + 126.2s | RAM: 15.02/27.65 GB ( 54.3%) | VRAM: N/A
[17:01:20] + 127.2s | RAM: 14.95/27.65 GB ( 54.1%) | VRAM: N/A
[17:01:21] + 128.3s | RAM: 14.91/27.65 GB ( 53.9%) | VRAM: N/A
[17:01:22] + 129.3s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[17:01:23] + 130.3s | RAM: 14.90/27.65 GB ( 53.9%) | VRAM: N/A
[17:01:24] + 131.3s | RAM: 14.93/27.65 GB ( 54.0%) | VRAM: N/A
[17:01:25] + 132.4s | RAM: 15.15/27.65 GB ( 54.8%) | VRAM: N/A
[17:01:26] + 133.4s | RAM: 15.89/27.65 GB ( 57.5%) | VRAM: N/A
[17:01:28] + 134.8s | RAM: 16.52/27.65 GB ( 59.8%) | VRAM: N/A
[17:01:31] + 137.9s | RAM: 19.31/27.65 GB ( 69.9%) | VRAM: N/A
[17:01:32] + 138.9s | RAM: 21.18/27.65 GB ( 76.6%) | VRAM: N/A
